"","trending_date","n_title","mean_likes","mean_views","mean_dislikes","mean_comment_count"
"1","17.01.12",162,48909.6049382716,1348747.04320988,2585.98765432099,6673.76543209877
"2","17.02.12",143,70996.0839160839,1671943.46153846,2457.30769230769,8614.7972027972
"3","17.03.12",148,78798.0067567568,1981795.2972973,2892.79054054054,9245.4527027027
"4","17.04.12",159,76604.4716981132,2158641.74842767,3238.89937106918,8741.53459119497
"5","17.05.12",145,83257.4620689655,2371184.00689655,3311.78620689655,9570.40689655172
"6","17.06.12",133,72898.8796992481,2114606.84962406,2204.07518796992,8395.19548872181
"7","17.07.12",150,70973.5066666667,2230864.09333333,5387.24,10358.9866666667
"8","17.08.12",143,49521.2167832168,1624565.13286713,8151.93006993007,10993.034965035
"9","17.09.12",158,61072.582278481,1962479.13291139,9471.51898734177,12578.9810126582
"10","17.10.12",156,63623.3717948718,1932300.38461538,10398.9166666667,11085.4294871795
"11","17.11.12",147,74330.3605442177,2292779.34693878,12017.7278911565,12185.0884353741
"12","17.12.12",141,89786.9503546099,2706483.05673759,14024.3687943262,14369.5815602837
"13","17.13.12",141,88523.8794326241,2799840.56028369,14787.4893617021,15944.1914893617
"14","17.14.11",140,55399.5285714286,1442392.92142857,3016.95,6151.7
"15","17.14.12",157,57571.6242038217,1768999.12101911,3258.22929936306,7878.92993630573
"16","17.15.11",146,53794.4520547945,1602250.17808219,3251.71917808219,5952.72602739726
"17","17.15.12",151,57246.5165562914,1400942.58278146,4696.81456953642,7732.39072847682
"18","17.16.11",143,40086.2307692308,1163217.11188811,1724.65034965035,4882.37762237762
"19","17.16.12",153,64234.0261437908,1678614.93464052,5337.45098039216,7793.26797385621
"20","17.17.11",147,47979.843537415,1204886.68027211,1785.34693877551,5529.46258503401
"21","17.17.12",152,55096.8552631579,1383463.86184211,3244.52631578947,6311.34868421053
"22","17.18.11",159,44118.5157232704,1201193.90566038,1614.78616352201,4761.89308176101
"23","17.18.12",161,62965.347826087,1588194.24223602,2183.7950310559,6717.72670807453
"24","17.19.11",156,50217.8397435897,1349832.94230769,1824.53846153846,5650.30128205128
"25","17.19.12",149,63999.1543624161,1544089.2147651,2168.07382550336,6329.61744966443
"26","17.20.11",150,55834.9,1582786.68,1779.45333333333,5885.34
"27","17.20.12",139,63154.5179856115,1531312.62589928,2148.61151079137,6882.69784172662
"28","17.21.11",154,57723.5454545455,1697387.43506494,2005.52597402597,5738.17532467533
"29","17.21.12",146,69594.9520547945,1661431.83561644,2608.00684931507,7404.87671232877
"30","17.22.11",152,62113.2763157895,1852741.78947368,2222.72368421053,6332.40789473684
"31","17.22.12",163,55596.9754601227,1321519.42944785,2696.9754601227,6841.11042944785
"32","17.23.11",152,46806.7302631579,1244019.63815789,2110.06578947368,6011.28289473684
"33","17.23.12",146,59341.1301369863,1392349.94520548,3295.92465753425,5959.17123287671
"34","17.24.11",141,49802.6808510638,1389581.80851064,3146.99290780142,6221.72340425532
"35","17.24.12",155,63719.6451612903,1620123.84516129,3962.4064516129,6705.18709677419
"36","17.25.11",140,72356.3214285714,1840022.15714286,4614.76428571429,10186.1
"37","17.25.12",157,66570.4394904459,1819087.36305732,3901.62420382166,7189.33121019108
"38","17.26.11",137,76116.8321167883,1853278.25547445,5302.75912408759,10868.3503649635
"39","17.26.12",145,68856.2551724138,1681988.39310345,3743.67586206897,7276.93793103448
"40","17.27.11",144,76276.1111111111,1762206.49305556,5185.31944444444,10836.0069444444
"41","17.27.12",144,69122.9930555556,1744812.59722222,4077.33333333333,7726.70138888889
"42","17.28.11",134,68681.4850746269,1599225.88059701,5655.59701492537,10548.7089552239
"43","17.28.12",131,40219.9923664122,1193689.57251908,2298.38167938931,4971.76335877863
"44","17.29.11",140,42759.8714285714,1136661.24285714,1739.82857142857,5736.61428571429
"45","17.29.12",145,38465.3103448276,1195616.63448276,1848.17931034483,4566.83448275862
"46","17.30.11",151,43991.7483443709,1131978.38410596,1678.81456953642,6164.45695364238
"47","17.30.12",134,40607.6567164179,1235476.10447761,1956.09701492537,5247.25373134328
"48","17.31.12",144,34516.4930555556,789124.256944444,1201.56944444444,5151.24305555556
"49","18.01.01",129,35773.6666666667,938257.108527132,1499.57364341085,5588.07751937985
"50","18.01.02",117,45463.905982906,1322664.35897436,1976.4358974359,5630.67521367521
"51","18.01.03",142,44311.3591549296,1400725.07746479,1598.47887323944,5612.57746478873
"52","18.01.04",147,41325.9591836735,1109963.51020408,1184.77551020408,4877.74829931973
"53","18.01.05",142,43436.6830985916,1351834.28873239,2243.72535211268,5756.43661971831
"54","18.01.06",165,44514.9212121212,1181357.53939394,2230.83636363636,5394.2
"55","18.02.01",132,31420.2954545455,943084.303030303,1793.38636363636,4670.08333333333
"56","18.02.02",114,26727.850877193,903432.754385965,1438.65789473684,2996.32456140351
"57","18.02.03",146,61554.5,1299398.76027397,1901.08219178082,7841.01369863014
"58","18.02.04",145,47124.8482758621,1571282.42068966,1581.10344827586,5638.98620689655
"59","18.02.05",141,51812.8723404255,1423286.75177305,2060.4609929078,6536.70212765957
"60","18.02.06",165,65720.8545454545,1528000.0969697,2998.70909090909,7317.58181818182
"61","18.03.01",132,31013.9393939394,1036313.52272727,2502.40151515152,4158.78787878788
"62","18.03.02",117,36137.7094017094,1272493.98290598,1563.36752136752,5319.17948717949
"63","18.03.03",130,66070.3538461538,1596597.69230769,2064.66153846154,8164.43846153846
"64","18.03.04",144,50932.4722222222,1383027.05555556,1654.65277777778,6097.51388888889
"65","18.03.05",148,38452.1148648649,1212547.7027027,1998.05405405405,5234.08108108108
